x-axis;1;2;;diodo 1;
second;Volt;Volt;;Vd;Id
-4,03E+00;2,15E+10;1,44E+10;;7,15E+09;9,61E+15
-4,03E+00;2,15E+10;1,41E+10;;7,46E+09;9,41E+15
-4,02E+00;2,15E+10;1,41E+10;;7,46E+09;9,41E+15
-4,02E+00;2,15E+10;1,41E+10;;7,46E+09;9,41E+15
-4,01E+00;2,15E+10;1,41E+10;;7,46E+09;9,41E+15
-4,01E+00;2,10E+10;1,41E+10;;6,96E+09;9,41E+15
-4,00E+00;2,15E+10;1,41E+10;;7,46E+09;9,41E+15
-4,00E+00;2,10E+10;1,37E+10;;7,28E+09;9,14E+15
-3,99E+00;2,15E+10;1,41E+10;;7,46E+09;9,41E+15
-3,99E+00;2,10E+10;1,37E+10;;7,28E+09;9,14E+15
-3,98E+00;2,10E+10;1,37E+10;;7,28E+09;9,14E+15
-3,98E+00;2,05E+10;1,37E+10;;6,78E+09;9,14E+15
-3,97E+00;2,10E+10;1,37E+10;;7,28E+09;9,14E+15
-3,97E+00;2,10E+10;1,37E+10;;7,28E+09;9,14E+15
-3,96E+00;2,10E+10;1,37E+10;;7,28E+09;9,14E+15
-3,96E+00;2,10E+10;1,37E+10;;7,28E+09;9,14E+15
-3,95E+00;2,10E+10;1,31E+10;;7,90E+09;8,74E+15
-3,95E+00;2,10E+10;1,34E+10;;7,59E+09;8,94E+15
-3,94E+00;2,10E+10;1,34E+10;;7,59E+09;8,94E+15
-3,94E+00;2,10E+10;1,34E+10;;7,59E+09;8,94E+15
-3,93E+00;2,10E+10;1,34E+10;;7,59E+09;8,94E+15
-3,93E+00;2,05E+10;1,34E+10;;7,09E+09;8,94E+15
-3,92E+00;2,05E+10;1,34E+10;;7,09E+09;8,94E+15
-3,92E+00;2,05E+10;1,34E+10;;7,09E+09;8,94E+15
-3,91E+00;2,05E+10;1,31E+10;;7,40E+09;8,74E+15
-3,91E+00;2,05E+10;1,31E+10;;7,40E+09;8,74E+15
-3,90E+00;2,05E+10;1,28E+10;;7,71E+09;8,54E+15
-3,90E+00;2,05E+10;1,31E+10;;7,40E+09;8,74E+15
-3,89E+00;2,05E+10;1,34E+10;;7,09E+09;8,94E+15
-3,89E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,88E+00;2,00E+10;1,25E+10;;7,53E+09;8,34E+15
-3,88E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,87E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,87E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,86E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,86E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,85E+00;2,00E+10;1,25E+10;;7,53E+09;8,34E+15
-3,85E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,84E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,84E+00;2,00E+10;1,28E+10;;7,21E+09;8,54E+15
-3,83E+00;2,00E+10;1,22E+10;;7,84E+09;8,14E+15
-3,83E+00;1,95E+10;1,25E+10;;7,03E+09;8,34E+15
-3,82E+00;2,00E+10;1,25E+10;;7,53E+09;8,34E+15
-3,82E+00;1,95E+10;1,25E+10;;7,03E+09;8,34E+15
-3,81E+00;1,90E+10;1,22E+10;;6,84E+09;8,14E+15
-3,81E+00;1,95E+10;1,22E+10;;7,34E+09;8,14E+15
-3,80E+00;1,95E+10;1,22E+10;;7,34E+09;8,14E+15
-3,80E+00;1,95E+10;1,22E+10;;7,34E+09;8,14E+15
-3,79E+00;1,95E+10;1,22E+10;;7,34E+09;8,14E+15
-3,79E+00;1,95E+10;1,22E+10;;7,34E+09;8,14E+15
-3,78E+00;1,95E+10;1,22E+10;;7,34E+09;8,14E+15
-3,78E+00;1,95E+10;1,19E+10;;7,65E+09;7,94E+15
-3,77E+00;1,90E+10;1,19E+10;;7,15E+09;7,94E+15
-3,77E+00;1,95E+10;1,19E+10;;7,65E+09;7,94E+15
-3,76E+00;1,90E+10;1,19E+10;;7,15E+09;7,94E+15
-3,76E+00;1,95E+10;1,19E+10;;7,65E+09;7,94E+15
-3,75E+00;1,90E+10;1,19E+10;;7,15E+09;7,94E+15
-3,75E+00;1,95E+10;1,19E+10;;7,65E+09;7,94E+15
-3,74E+00;1,95E+10;1,19E+10;;7,65E+09;7,94E+15
-3,74E+00;1,90E+10;1,19E+10;;7,15E+09;7,94E+15
-3,73E+00;1,85E+10;1,16E+10;;6,96E+09;7,74E+15
-3,73E+00;1,85E+10;1,16E+10;;6,96E+09;7,74E+15
-3,72E+00;1,85E+10;1,16E+10;;6,96E+09;7,74E+15
-3,72E+00;1,85E+10;1,16E+10;;6,96E+09;7,74E+15
-3,71E+00;1,85E+10;1,16E+10;;6,96E+09;7,74E+15
-3,71E+00;1,85E+10;1,16E+10;;6,96E+09;7,74E+15
