x-axis;1;2;;Segundo diodo;
second;Volt;Volt;;Vd;Id
-4,22E+00;3,75E+10;1,84E+10;;1,91E+10;1,74E+15
-4,21E+00;3,75E+10;1,87E+10;;1,88E+10;1,76E+15
-4,21E+00;3,75E+10;1,87E+10;;1,88E+10;1,76E+15
-4,20E+00;3,75E+10;1,84E+10;;1,91E+10;1,74E+15
-4,20E+00;3,75E+10;1,87E+10;;1,88E+10;1,76E+15
-4,19E+00;3,80E+10;1,91E+10;;1,90E+10;1,80E+15
-4,19E+00;3,75E+10;1,91E+10;;1,85E+10;1,80E+15
-4,18E+00;3,70E+10;1,91E+10;;1,80E+10;1,80E+15
-4,18E+00;3,80E+10;1,91E+10;;1,90E+10;1,80E+15
-4,17E+00;3,80E+10;1,94E+10;;1,87E+10;1,83E+15
-4,17E+00;3,75E+10;1,91E+10;;1,85E+10;1,80E+15
-4,16E+00;3,80E+10;1,91E+10;;1,90E+10;1,80E+15
-4,16E+00;3,80E+10;1,91E+10;;1,90E+10;1,80E+15
-4,15E+00;3,80E+10;1,91E+10;;1,90E+10;1,80E+15
-4,15E+00;3,80E+10;1,91E+10;;1,90E+10;1,80E+15
-4,14E+00;3,80E+10;1,91E+10;;1,90E+10;1,80E+15
-4,14E+00;3,80E+10;1,94E+10;;1,87E+10;1,83E+15
-4,13E+00;3,80E+10;1,97E+10;;1,83E+10;1,86E+15
-4,13E+00;3,80E+10;1,94E+10;;1,87E+10;1,83E+15
-4,12E+00;3,85E+10;1,94E+10;;1,92E+10;1,83E+15
-4,12E+00;3,80E+10;1,97E+10;;1,83E+10;1,86E+15
-4,11E+00;3,85E+10;1,97E+10;;1,88E+10;1,86E+15
-4,11E+00;3,85E+10;1,97E+10;;1,88E+10;1,86E+15
-4,10E+00;3,85E+10;1,97E+10;;1,88E+10;1,86E+15
-4,10E+00;3,85E+10;1,97E+10;;1,88E+10;1,86E+15
-4,09E+00;3,85E+10;1,97E+10;;1,88E+10;1,86E+15
-4,09E+00;3,90E+10;2,00E+10;;1,90E+10;1,89E+15
-4,08E+00;3,90E+10;1,97E+10;;1,93E+10;1,86E+15
-4,08E+00;3,85E+10;2,00E+10;;1,85E+10;1,89E+15
-4,07E+00;3,85E+10;2,00E+10;;1,85E+10;1,89E+15
-4,07E+00;3,90E+10;2,00E+10;;1,90E+10;1,89E+15
-4,06E+00;3,90E+10;2,00E+10;;1,90E+10;1,89E+15
-4,06E+00;3,85E+10;2,00E+10;;1,85E+10;1,89E+15
-4,05E+00;3,90E+10;2,03E+10;;1,87E+10;1,92E+15
-4,05E+00;3,85E+10;2,00E+10;;1,85E+10;1,89E+15
-4,04E+00;3,85E+10;2,00E+10;;1,85E+10;1,89E+15
-4,04E+00;3,85E+10;2,03E+10;;1,82E+10;1,92E+15
-4,03E+00;3,95E+10;2,03E+10;;1,92E+10;1,92E+15
-4,03E+00;3,85E+10;2,03E+10;;1,82E+10;1,92E+15
-4,02E+00;3,95E+10;2,03E+10;;1,92E+10;1,92E+15
-4,02E+00;3,95E+10;2,03E+10;;1,92E+10;1,92E+15
-4,01E+00;3,90E+10;2,03E+10;;1,87E+10;1,92E+15
-4,01E+00;3,90E+10;2,06E+10;;1,84E+10;1,94E+15
-4,00E+00;3,90E+10;2,03E+10;;1,87E+10;1,92E+15
-4,00E+00;3,95E+10;2,06E+10;;1,89E+10;1,94E+15
-3,99E+00;3,95E+10;2,06E+10;;1,89E+10;1,94E+15
-3,99E+00;3,95E+10;2,06E+10;;1,89E+10;1,94E+15
-3,98E+00;3,95E+10;2,06E+10;;1,89E+10;1,94E+15
-3,98E+00;3,95E+10;2,06E+10;;1,89E+10;1,94E+15
-3,97E+00;3,95E+10;2,06E+10;;1,89E+10;1,94E+15
-3,97E+00;4,00E+10;2,09E+10;;1,91E+10;1,97E+15
-3,96E+00;4,00E+10;2,09E+10;;1,91E+10;1,97E+15
-3,96E+00;4,00E+10;2,09E+10;;1,91E+10;1,97E+15
-3,95E+00;4,00E+10;2,09E+10;;1,91E+10;1,97E+15
-3,95E+00;4,00E+10;2,09E+10;;1,91E+10;1,97E+15
-3,94E+00;4,00E+10;2,12E+10;;1,88E+10;2,00E+15
-3,94E+00;4,00E+10;2,09E+10;;1,91E+10;1,97E+15
-3,93E+00;4,00E+10;2,09E+10;;1,91E+10;1,97E+15
-3,93E+00;4,00E+10;2,12E+10;;1,88E+10;2,00E+15
-3,92E+00;4,00E+10;2,12E+10;;1,88E+10;2,00E+15
-3,92E+00;4,00E+10;2,12E+10;;1,88E+10;2,00E+15
-3,91E+00;4,00E+10;2,12E+10;;1,88E+10;2,00E+15
-3,91E+00;4,05E+10;2,16E+10;;1,90E+10;2,04E+15
-3,90E+00;4,00E+10;2,16E+10;;1,85E+10;2,04E+15
-3,90E+00;4,05E+10;2,16E+10;;1,90E+10;2,04E+15
-3,89E+00;4,00E+10;2,16E+10;;1,85E+10;2,04E+15
-3,89E+00;4,05E+10;2,16E+10;;1,90E+10;2,04E+15
-3,88E+00;4,05E+10;2,16E+10;;1,90E+10;2,04E+15
-3,88E+00;4,05E+10;2,16E+10;;1,90E+10;2,04E+15
-3,87E+00;4,05E+10;2,22E+10;;1,83E+10;2,09E+15
-3,87E+00;4,05E+10;2,16E+10;;1,90E+10;2,04E+15
-3,86E+00;4,00E+10;2,19E+10;;1,82E+10;2,07E+15
-3,86E+00;4,00E+10;2,19E+10;;1,82E+10;2,07E+15
-3,85E+00;4,00E+10;2,19E+10;;1,82E+10;2,07E+15
-3,85E+00;4,10E+10;2,19E+10;;1,92E+10;2,07E+15
-3,84E+00;4,05E+10;2,19E+10;;1,87E+10;2,07E+15
-3,84E+00;4,10E+10;2,19E+10;;1,92E+10;2,07E+15
-3,83E+00;4,05E+10;2,19E+10;;1,87E+10;2,07E+15
-3,83E+00;4,00E+10;2,19E+10;;1,82E+10;2,07E+15
-3,82E+00;4,10E+10;2,22E+10;;1,88E+10;2,09E+15
-3,82E+00;4,05E+10;2,19E+10;;1,87E+10;2,07E+15
-3,81E+00;4,10E+10;2,22E+10;;1,88E+10;2,09E+15
-3,81E+00;4,10E+10;2,22E+10;;1,88E+10;2,09E+15
-3,80E+00;4,10E+10;2,22E+10;;1,88E+10;2,09E+15
-3,80E+00;4,10E+10;2,22E+10;;1,88E+10;2,09E+15
-3,79E+00;4,10E+10;2,22E+10;;1,88E+10;2,09E+15
-3,79E+00;4,10E+10;2,22E+10;;1,88E+10;2,09E+15
-3,78E+00;4,10E+10;2,25E+10;;1,85E+10;2,12E+15
-3,78E+00;4,10E+10;2,25E+10;;1,85E+10;2,12E+15
-3,77E+00;4,10E+10;2,25E+10;;1,85E+10;2,12E+15
-3,77E+00;4,10E+10;2,28E+10;;1,82E+10;2,15E+15
-3,76E+00;4,15E+10;2,25E+10;;1,90E+10;2,12E+15
-3,76E+00;4,05E+10;2,28E+10;;1,77E+10;2,15E+15
-3,75E+00;4,05E+10;2,28E+10;;1,77E+10;2,15E+15
-3,75E+00;4,15E+10;2,28E+10;;1,87E+10;2,15E+15
-3,74E+00;4,15E+10;2,28E+10;;1,87E+10;2,15E+15
-3,74E+00;4,15E+10;2,28E+10;;1,87E+10;2,15E+15
-3,73E+00;4,15E+10;2,28E+10;;1,87E+10;2,15E+15
-3,73E+00;4,15E+10;2,28E+10;;1,87E+10;2,15E+15
-3,72E+00;4,15E+10;2,31E+10;;1,84E+10;2,18E+15
-3,72E+00;4,20E+10;2,34E+10;;1,86E+10;2,21E+15
-3,71E+00;4,20E+10;2,28E+10;;1,92E+10;2,15E+15
-3,71E+00;4,15E+10;2,31E+10;;1,84E+10;2,18E+15
-3,70E+00;4,20E+10;2,31E+10;;1,89E+10;2,18E+15
-3,70E+00;4,20E+10;2,31E+10;;1,89E+10;2,18E+15
-3,69E+00;4,20E+10;2,31E+10;;1,89E+10;2,18E+15
-3,69E+00;4,20E+10;2,31E+10;;1,89E+10;2,18E+15
-3,68E+00;4,20E+10;2,31E+10;;1,89E+10;2,18E+15
-3,68E+00;4,20E+10;2,31E+10;;1,89E+10;2,18E+15
-3,67E+00;4,20E+10;2,34E+10;;1,86E+10;2,21E+15
-3,67E+00;4,25E+10;2,31E+10;;1,94E+10;2,18E+15
-3,66E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,66E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,65E+00;4,25E+10;2,34E+10;;1,91E+10;2,21E+15
-3,65E+00;4,25E+10;2,34E+10;;1,91E+10;2,21E+15
-3,64E+00;4,25E+10;2,34E+10;;1,91E+10;2,21E+15
-3,64E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,63E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,63E+00;4,20E+10;2,41E+10;;1,80E+10;2,27E+15
-3,62E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,62E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,61E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,61E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,60E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,60E+00;4,30E+10;2,37E+10;;1,93E+10;2,24E+15
-3,59E+00;4,25E+10;2,37E+10;;1,88E+10;2,24E+15
-3,59E+00;4,25E+10;2,41E+10;;1,85E+10;2,27E+15
-3,58E+00;4,30E+10;2,41E+10;;1,90E+10;2,27E+15
-3,58E+00;4,25E+10;2,44E+10;;1,82E+10;2,30E+15
-3,57E+00;4,30E+10;2,41E+10;;1,90E+10;2,27E+15
-3,57E+00;4,30E+10;2,44E+10;;1,87E+10;2,30E+15
-3,56E+00;4,30E+10;2,44E+10;;1,87E+10;2,30E+15
-3,56E+00;4,30E+10;2,44E+10;;1,87E+10;2,30E+15
-3,55E+00;4,35E+10;2,44E+10;;1,92E+10;2,30E+15
-3,55E+00;4,35E+10;2,44E+10;;1,92E+10;2,30E+15
-3,54E+00;4,30E+10;2,44E+10;;1,87E+10;2,30E+15
-3,54E+00;4,30E+10;2,47E+10;;1,83E+10;2,33E+15
-3,53E+00;4,30E+10;2,47E+10;;1,83E+10;2,33E+15
-3,53E+00;4,30E+10;2,47E+10;;1,83E+10;2,33E+15
-3,52E+00;4,35E+10;2,44E+10;;1,92E+10;2,30E+15
-3,52E+00;4,30E+10;2,47E+10;;1,83E+10;2,33E+15
-3,51E+00;4,30E+10;2,47E+10;;1,83E+10;2,33E+15
-3,51E+00;4,30E+10;2,47E+10;;1,83E+10;2,33E+15
-3,50E+00;4,35E+10;2,50E+10;;1,85E+10;2,36E+15
-3,50E+00;4,40E+10;2,44E+10;;1,97E+10;2,30E+15
-3,49E+00;4,35E+10;2,50E+10;;1,85E+10;2,36E+15
-3,49E+00;4,40E+10;2,50E+10;;1,90E+10;2,36E+15
-3,48E+00;4,35E+10;2,50E+10;;1,85E+10;2,36E+15
-3,48E+00;4,30E+10;2,50E+10;;1,80E+10;2,36E+15
