x-axis;1;2;;Tercer diodo;
second;Volt;Volt;;Vd;Id
-3,96E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,95E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,95E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,94E+00;4,95E+10;2,69E+10;;2,27E+10;1,29E+15
-3,94E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,93E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,93E+00;5,00E+10;2,72E+10;;2,28E+10;1,31E+15
-3,92E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,92E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,91E+00;5,00E+10;2,72E+10;;2,28E+10;1,31E+15
-3,91E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,90E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,90E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,89E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,89E+00;5,00E+10;2,78E+10;;2,22E+10;1,34E+15
-3,88E+00;4,95E+10;2,78E+10;;2,17E+10;1,34E+15
-3,88E+00;4,95E+10;2,78E+10;;2,17E+10;1,34E+15
-3,87E+00;5,00E+10;2,81E+10;;2,19E+10;1,35E+15
-3,87E+00;5,00E+10;2,78E+10;;2,22E+10;1,34E+15
-3,86E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,86E+00;5,00E+10;2,72E+10;;2,28E+10;1,31E+15
-3,85E+00;5,00E+10;2,78E+10;;2,22E+10;1,34E+15
-3,85E+00;5,00E+10;2,72E+10;;2,28E+10;1,31E+15
-3,84E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,84E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,83E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,83E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,82E+00;5,00E+10;2,72E+10;;2,28E+10;1,31E+15
-3,82E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,81E+00;4,90E+10;2,75E+10;;2,15E+10;1,32E+15
-3,81E+00;4,95E+10;2,75E+10;;2,20E+10;1,32E+15
-3,80E+00;4,95E+10;2,72E+10;;2,23E+10;1,31E+15
-3,80E+00;4,95E+10;2,69E+10;;2,27E+10;1,29E+15
-3,79E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,79E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,78E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,78E+00;4,90E+10;2,69E+10;;2,22E+10;1,29E+15
-3,77E+00;4,90E+10;2,69E+10;;2,22E+10;1,29E+15
-3,77E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,76E+00;4,90E+10;2,72E+10;;2,18E+10;1,31E+15
-3,76E+00;4,90E+10;2,69E+10;;2,22E+10;1,29E+15
-3,75E+00;4,85E+10;2,69E+10;;2,17E+10;1,29E+15
-3,75E+00;4,90E+10;2,69E+10;;2,22E+10;1,29E+15
-3,74E+00;4,85E+10;2,69E+10;;2,17E+10;1,29E+15
-3,74E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-3,73E+00;4,85E+10;2,69E+10;;2,17E+10;1,29E+15
-3,73E+00;4,85E+10;2,69E+10;;2,17E+10;1,29E+15
-3,72E+00;4,90E+10;2,66E+10;;2,25E+10;1,28E+15
-3,72E+00;4,90E+10;2,69E+10;;2,22E+10;1,29E+15
-3,71E+00;4,85E+10;2,62E+10;;2,23E+10;1,26E+15
-3,71E+00;4,90E+10;2,66E+10;;2,25E+10;1,28E+15
-3,70E+00;4,85E+10;2,66E+10;;2,20E+10;1,28E+15
-3,70E+00;4,85E+10;2,62E+10;;2,23E+10;1,26E+15
-3,69E+00;4,85E+10;2,62E+10;;2,23E+10;1,26E+15
-3,69E+00;4,85E+10;2,62E+10;;2,23E+10;1,26E+15
-3,68E+00;4,85E+10;2,62E+10;;2,23E+10;1,26E+15
-3,68E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-3,67E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-3,67E+00;4,85E+10;2,62E+10;;2,23E+10;1,26E+15
-3,66E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-3,66E+00;4,80E+10;2,62E+10;;2,18E+10;1,26E+15
-3,65E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-3,65E+00;4,80E+10;2,59E+10;;2,21E+10;1,25E+15
-3,64E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-3,64E+00;4,80E+10;2,59E+10;;2,21E+10;1,25E+15
-3,63E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-3,63E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-3,62E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-3,62E+00;4,75E+10;2,59E+10;;2,16E+10;1,25E+15
-3,61E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-3,61E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-3,60E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-3,60E+00;4,70E+10;2,56E+10;;2,14E+10;1,23E+15
-3,59E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-3,59E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-3,58E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-3,58E+00;4,70E+10;2,53E+10;;2,17E+10;1,22E+15
-3,57E+00;4,75E+10;2,53E+10;;2,22E+10;1,22E+15
-3,57E+00;4,70E+10;2,56E+10;;2,14E+10;1,23E+15
-3,56E+00;4,70E+10;2,53E+10;;2,17E+10;1,22E+15
-3,56E+00;4,75E+10;2,56E+10;;2,19E+10;1,23E+15
-3,55E+00;4,70E+10;2,56E+10;;2,14E+10;1,23E+15
-3,55E+00;4,70E+10;2,50E+10;;2,20E+10;1,20E+15
-3,54E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-3,54E+00;4,65E+10;2,53E+10;;2,12E+10;1,22E+15
-3,53E+00;4,70E+10;2,53E+10;;2,17E+10;1,22E+15
-3,53E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-3,52E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-3,52E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-3,51E+00;4,65E+10;2,50E+10;;2,15E+10;1,20E+15
-3,51E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-3,50E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-3,50E+00;4,65E+10;2,44E+10;;2,22E+10;1,17E+15
-3,49E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-3,49E+00;4,65E+10;2,47E+10;;2,18E+10;1,19E+15
-3,48E+00;4,60E+10;2,47E+10;;2,13E+10;1,19E+15
-3,48E+00;4,65E+10;2,44E+10;;2,22E+10;1,17E+15
-3,47E+00;4,65E+10;2,44E+10;;2,22E+10;1,17E+15
-3,47E+00;4,65E+10;2,44E+10;;2,22E+10;1,17E+15
-3,46E+00;4,60E+10;2,47E+10;;2,13E+10;1,19E+15
-3,46E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-3,45E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-3,45E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-3,44E+00;4,55E+10;2,44E+10;;2,12E+10;1,17E+15
-3,44E+00;4,55E+10;2,44E+10;;2,12E+10;1,17E+15
-3,43E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-3,43E+00;4,60E+10;2,44E+10;;2,17E+10;1,17E+15
-3,42E+00;4,65E+10;2,41E+10;;2,25E+10;1,16E+15
-3,42E+00;4,65E+10;2,41E+10;;2,25E+10;1,16E+15
-3,41E+00;4,55E+10;2,41E+10;;2,15E+10;1,16E+15
-3,41E+00;4,55E+10;2,41E+10;;2,15E+10;1,16E+15
-3,40E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-3,40E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-3,39E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-3,39E+00;4,60E+10;2,41E+10;;2,20E+10;1,16E+15
-3,38E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-3,38E+00;4,50E+10;2,37E+10;;2,13E+10;1,14E+15
-3,37E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-3,37E+00;4,55E+10;2,37E+10;;2,18E+10;1,14E+15
-3,36E+00;4,60E+10;2,37E+10;;2,23E+10;1,14E+15
